Hero	Deck	Title	HP	Keywords	Game Text	Flavor Text	Attribution	Qty	Set
Absolute Zero	Absolute Zero	Ice Shield	-	Ongoing	After this card is played, select 1 target. That target is immune to damage. When this card is destroyed, you may draw 1 card and play 1 card. START PHASE Destroy this card.	"You saved a lot of lives today. I know we haven't always seen eye to eye, but you're an absolute hero in my book."	Legacy, America's Finest Legacy #190	2	Core Game
Absolute Zero	Absolute Zero	Isothermic Transducer	-	Item, Limited	After this card is played, you may play 1 card. After Absolute Zero is dealt fire damage, Absolute Zero deals 1 target that much cold damage.	"It flies in the face of the laws of thermodynamics, but I cannot argue -- fire does get all weird around you!"	Tachyon, Freedom Four Annual #7	3	Core Game
Absolute Zero	Absolute Zero	Modular Repair	-	One-Shot	Salvage 1 Item card. You may play 1 card. Absolute Zero deals himself 1 fire damage and 1 cold damage.	"Doc's not gonna love it, but it's this or burn!"	Absolute Zero, Freedom Five #392	3	Core Game
Absolute Zero	Absolute Zero	Null-Point Calibration Unit	-	Item, Limited	After this card is played, you may play 1 card. Whenever Absolute Zero would be dealt cold damage, he regains that much HP instead.	"Cold is all a matter of perspective."	Absolute Zero, Freedom Five #161	3	Core Game
Absolute Zero	Absolute Zero	Still Life	-	Ongoing	After this card is played, select 1 target. That target cannot deal damage. When this card is destroyed, you may draw 1 card and play 1 card. START PHASE Destroy this card.	"Sure, it's not my best work, but you gotta work with what you've got. I'm no Michelangelo over here."	Absolute Zero, Justice Comics #523	2	Core Game
Absolute Zero	Absolute Zero	Thermal Shockwave	-	Ongoing, Limited	POWER: Absolute Zero deals up to 3 targets 1 cold damage each. Then, Absolute Zero deals himself X fire damage, where X is the amount of cold damage dealt by Absolute Zero this turn.	"What's the matter? You boys got cold feet?"	The Wraith, Moonfall #4	2	Core Game
Alpha	Alpha	Attack of the Direwolf	-	One-Shot	Play or discover 1 Aspect card. Alpha deals 1 target X melee damage, where X is the number of Aspect cards in play plus 1.	"Legend speaks of a far more terrible form of the wolf -- one whose very existence rends the minds of men.”	NightMist, NightMist #146	3	Rook City Renegades
Alpha	Alpha	Badger the Bloodied	-	Ongoing, Limited	After this card is played, Alpha deals 1 target 2 melee damage. REACTION: Alpha deals the attacker 2 melee damage.	"That’s a lot of teeth! I’m gonna stay out of this one. Or, at least, hang back a bit...”	Setback, Terminal Ballistics #32	2	Rook City Renegades
Alpha	Alpha	Bloodcurdling Howl	-	Ongoing, Aspect	START PHASE Alpha deals 1 target 1 sonic damage. Destroy 1 Ongoing card in that target’s play area. END PHASE If there are 3 or more Aspect cards in play, Alpha deals the target with the lowest HP 1 melee damage.	"Sacré bleu! My spine, it shivers at that sound! This will be more fun than I had thought!”	Ambuscade, Rook City Renegades #135	1	Rook City Renegades
Alpha	Alpha	Eyes for the Hunt	-	Ongoing, Aspect	+1 damage dealt by Alpha. END PHASE If there are 3 or more Aspect cards in play, Alpha deals the target with the lowest HP 1 melee damage.	"I caught sight of you. You can’t escape.”	Alpha, Alpha: The Wolf-Woman #23	1	Rook City Renegades
Alpha	Alpha	Fangs and Claws	-	Ongoing, Aspect	START PHASE Alpha either deals 1 target 2 melee damage or 2 targets 1 melee damage each. END PHASE If there are 3 or more Aspect cards in play, Alpha deals the target with the lowest HP 1 melee damage.	"Not so good for typing, but sometimes you’ve gotta roll up your sleeves and take out the trash yourself.”	Alpha, Alpha #1	1	Rook City Renegades
Alpha	Alpha	Fatal Feast	-	One-Shot	Discover 1 Aspect card. Alpha deals 1 target 1 irreducible melee damage. Then, if the target has 3 or fewer HP, destroy it and discover 1 Aspect card.	"A girl’s gotta eat, and this girl is awfully hungry!”	Alpha, Alpha 2000 #5	3	Rook City Renegades
Alpha	Alpha	Full Moon	-	SUDDENLY!, One-Shot	Shuffle your trash into your deck. Destroy Silver Bindings. Discover 1 Aspect card.	"Wait, the full moon is tonight?! Oh no! I have to get back home, before--”	Tammy Taft, Wolf-Woman #3	2	Rook City Renegades
Alpha	Alpha	Furious Slash	-	One-Shot	Discover 1 Aspect card. Alpha deals up to X targets 2 melee damage each, where X is the number of Aspect cards in play.	"You know more blood magic than I, but I know how these beasts think. She won’t catch us unawares.”	Hexterminator, Alpha: The Wolf-Woman #58	3	Rook City Renegades
Alpha	Alpha	Hamstring	-	Ongoing, Limited	After this card is played, Alpha deals the Villain target with the highest HP 3 melee damage. A target dealt damage this way cannot deal damage. START PHASE Destroy this card.	"You call yourself a king. You will fall like so many tyrants before you: Weak, alone, crying in the dark.”	Alpha, Alpha: The Wolf-Woman #36	2	Rook City Renegades
Alpha	Alpha	Insatiable Hunger	-	Ongoing, Aspect	START PHASE Either destroy 1 target with 3 or fewer HP, or discover 1 Ongoing card. END PHASE If there are 3 or more Aspect cards in play, Alpha deals the target with the lowest HP 1 melee damage.	"You should have run... when you had the chance!”	Wolf-Woman, Tome of the Bizarre Vol. 1 #15	1	Rook City Renegades
Alpha	Alpha	Lupine Senses	-	Ongoing, Aspect	START PHASE Reveal the top card of the Villain deck. You may discard the revealed card, or replace it and draw 2 cards. END PHASE If there are 3 or more Aspect cards in play, Alpha deals the target with the lowest HP 1 melee damage.	"You know how they say I have a nose for a good story? Bruce, you got an eye for scandal. That’s not a compliment.”	Tabitha Taft, Rook City Renegades #65	1	Rook City Renegades
Alpha	Alpha	Lycanthropic Frenzy	-	One-Shot	Alpha deals 1 target 3 melee damage. Alpha deals the target other than herself with the highest HP 3 melee damage. If there are 3 or more Aspect cards in play, Alpha deals each target 1 melee damage.	"Yes! Give in to your true nature! You are strength and power and the hunt itself!”	Apex, Alpha: The Wolf-Woman #24	3	Rook City Renegades
Alpha	Alpha	Maintain Control	-	One-Shot	Put any number of Aspect cards in play in your hand. Draw 3 cards. If there are 3 or more Aspect cards in play, play 1 card. Otherwise, 1 ally Hero draws 1 card.	"Your self-control is impressive, though I recommend ridding you of this curse. Is there some deeper reason you cling so tightly to it?”	NightMist, Alpha: The Wolf-Woman #47	3	Rook City Renegades
Alpha	Alpha	Powerful Frame	-	Ongoing, Aspect	-1 damage dealt to Alpha. END PHASE If there are 3 or more Aspect cards in play, Alpha deals the target with the lowest HP 1 melee damage.	"You just bit off-- *GROWL* more than you can chew!”	Wolf-Woman, Wolf-Woman #18	1	Rook City Renegades
Alpha	Alpha	Quell the Beast	-	One-Shot	Put any number of Aspect cards in play into your hand. Summon Silver Bindings. If there are 3 or more Aspect cards in play, draw 2 cards and Alpha regains 2 HP. Otherwise, 2 ally Heroes draw 2 cards each.	"There’s a killer on the loose, and we can’t have you getting in our way. Hold your temper, lady. We’re being heroes.”	Expatriette, Terminal Ballistics #31	3	Rook City Renegades
Alpha	Alpha	Rip and Tear	-	Ongoing, Limited	POWER: Alpha deals 1 target 2 melee damage. Alpha deals 1 target 2 melee damage. If Alpha dealt damage to the same target twice this way, Alpha regains 2 HP.	"Huh. Good wolf.”	Mr. Fixer, Dark Watch Vol. 1 #106	2	Rook City Renegades
Alpha	Alpha	Silver Bindings	-	Item, Limited	-2 damage dealt by Alpha to the target with the lowest HP. POWER: Summon 1 Aspect card. Destroy this card. END PHASE Alpha deals herself 2 fixed psychic damage. Draw 2 cards.	"Ev’rybody got they own way of handling what ails them. No shame in that.”	Rambler, Tome of the Bizarre Vol. 3 #11	3	Rook City Renegades
Alpha	Alpha	Thrill of the Chase	-	Ongoing, Limited	After Alpha deals melee damage to a non-Hero target, if that target is still in play, Alpha regains 1 HP. POWER: If there are 3 or more Aspect cards in play, discover 1 Aspect card. Otherwise, summon 1 Aspect card.	"You delusional man. You think you are hunting me?”	Alpha, Tome of the Bizarre Vol. 4 #54	3	Rook City Renegades
Alpha	Alpha	The Wolf Within	-	One-Shot	Play or discover 1 Aspect card. If there are 3 or more Aspect cards in play, Alpha deals up to 4 targets 2 melee damage each. Otherwise, discover 1 Aspect card.	"I, too, have felt at odds with my own power, and wrestled with what it means to be who I am. What I’m trying to say is, I get it, and I’m sorry.”	The Harpy, Dark Watch Vol. 1 #135	2	Rook City Renegades
The Argent Adept	The Argent Adept	Akpunku's Drum	-	Item, Instrument	POWER: Activate the ACCOMPANY of 1 Rhythm card. Then, activate the PERFORM of 1 Rhythm card.	"How can this mere mortal counter my despair?!"	Gloomweaver, NightMist #21	1	Core Game
The Argent Adept	The Argent Adept	Alacritous Subdominant	-	Ongoing, Harmony	PERFORM 1 Hero may play 1 card. ACCOMPANY You may use 1 power. If you do, put this card on the top of your deck.	"I feel the timbre of your verse flowing through me, shaping this construct like nothing I've ever manifested before!"	Captain Cosmic, Prime Wardens Vol. 1 #116	2	Core Game
The Argent Adept	The Argent Adept	Arcane Cadence	-	One-Shot	Reveal the top 5 cards of your deck. Draw 1 of them, replace 1, discard 1, bury 1, and play 1.	"I am pulled by magical forces beyond the knowledge of man. Nature, Void, blood... all are my domain!"	The Argent Adept, Virtuoso of the Void Vol. 2 #65	3	Core Game
The Argent Adept	The Argent Adept	Cedistic Dissonant	-	Ongoing, Harmony	PERFORM Destroy 1 Instrument card. If you do, you may destroy 1 non-character card. ACCOMPANY 1 ally may play 1 card.	"Power for power. Be no more."	The Argent Adept, NightMist #61	2	Core Game
The Argent Adept	The Argent Adept	Counterpoint Bulwark	-	Ongoing, Rhythm	PERFORM Select up to 3 targets. Until your START PHASE, -1 damage dealt to those targets. ACCOMPANY Up to 3 Heroes may draw 1 card each.	"She seeks to be your undoing on an ethereal level. Hold fast. You can overcome this curse."	The Argent Adept, Mystery Comics Vol. 2 #302	2	Core Game
The Argent Adept	The Argent Adept	Drake's Pipes	-	Item, Instrument	POWER: Activate the PERFORM of 1 Melody card. Then, activate the PERFORM of 1 other card.	"With the creation of my own instrument, I become the latest in the line of Virtuosos of the Void: the Argent Adept!"	Anthony Drake, Toll of Destiny #5	1	Core Game
The Argent Adept	The Argent Adept	Eydisar's Horn	-	Item, Instrument	POWER: Activate the PERFORM of 1 Melody card. Then, activate 1 ACCOMPANY.	"Come forth! Halt your battles in Valhalla and stand strong against these forces of evil!"	The Argent Adept, Absolution #9	1	Core Game
The Argent Adept	The Argent Adept	Inspiring Supertonic	-	Ongoing, Harmony	PERFORM 1 Hero may use 1 power. ACCOMPANY The Argent Adept regains 2 HP.	"Sing more power into my storm, musical magician! That dread titan won't be able to weather such an onslaught."	Tempest, Prime Wardens Vol. 2 #38	2	Core Game
The Argent Adept	The Argent Adept	Instrumental Conjuration	-	One-Shot	Summon 1 Instrument card. You may play 1 card.	"Virtuosos of the ages, lend me your strength!"	The Argent Adept, Virtuoso of the Void Vol. 1 #145	4	Core Game
The Argent Adept	The Argent Adept	Inventive Preparation	-	Ongoing, Rhythm	PERFORM Each Hero reveals the top card of their deck, then replaces it or discards it. Then, 1 Hero may draw 2 cards. ACCOMPANY Discover 1 Ongoing card.	"I hear, I see now. My faith is my strength, but my faith need not endure in solitude. My friends, too, give me strength."	Fanatic, Fanatic Vol. 2 #115	2	Core Game
The Argent Adept	The Argent Adept	Musaragni's Harp	-	Item, Instrument	POWER: Activate the PERFORM of 1 Harmony card. Then, activate the ACCOMPANY of 1 Harmony card.	"Its strings can play as quietly as a mouse, or as loud as a lion!"	The Argent Adept, Toll of Destiny #2	1	Core Game
The Argent Adept	The Argent Adept	Polyphonic Flare	-	One-Shot	The Argent Adept deals himself 2 fixed energy damage. Either use 1 power or draw 2 cards.	"So long as your essence persists in any realm, you shall never be free of me!"	Bal'Teranerach, Virtuoso of the Void Vol. 2 #100	3	Core Game
The Argent Adept	The Argent Adept	Rhapsody of Vigor	-	Ongoing, Melody	PERFORM Up to 5 targets regain 2 HP each.	"Prepare yourselves. The worst is yet to come."	The Argent Adept, Prime Wardens Vol. 1 #1	2	Core Game
The Argent Adept	The Argent Adept	Sarabande of Destruction	-	Ongoing, Melody	PERFORM Destroy 1 Ongoing card or 1 target with 2 or fewer HP.	"You cannot return! Your base machinations shall fail!"	The Argent Adept, Virtuoso of the Void Vol. 1 #152	2	Core Game
The Argent Adept	The Argent Adept	Scherzo of Frost and Flame	-	Ongoing, Melody	PERFORM The Argent Adept deals 1 target 2 cold damage. Then, The Argent Adept may deal 1 different target 2 fire damage.	"A touch of the elements to keep foes at bay."	The Argent Adept, Prime Wardens Vol. 2 #17	2	Core Game
The Argent Adept	The Argent Adept	Silver Shadow	-	One-Shot	Activate 1 ACCOMPANY. You may either draw 1 card or play 1 card.	"Music of the Void, course through my lungs and give life to my refrain! I sing you into creation!"	The Argent Adept, Virtuoso of the Void Vol. 2 #38	3	Core Game
The Argent Adept	The Argent Adept	Syncopated Onslaught	-	Ongoing, Rhythm	PERFORM Select up to 3 targets. Until your START PHASE, +1 damage dealt by those targets. ACCOMPANY The Argent Adept deals 1 target 1 irreducible sonic damage.	"Ah! It is good to do a haka with such fine accompaniment!"	Haka, The Savage Haka #242	2	Core Game
The Argent Adept	The Argent Adept	Telamon's Lyra	-	Item, Instrument	POWER: Either activate the PERFORM of 1 Harmony card and activate the ACCOMPANY of 1 Rhythm card, or activate the PERFORM of 1 Rhythm card and activate the ACCOMPANY of 1 Harmony card.	"Back! Begone! I know not how I brought you into this world, but I shall surely send you from it!"	Anthony Drake, Toll of Destiny #3	1	Core Game
The Argent Adept	The Argent Adept	Vernal Sonata	-	One-Shot	Each Hero target regains 1 HP. Each Hero may put 1 card from their trash on top of their deck.	"Don't get too comfortable. We're not out of the woods yet."	The Argent Adept, Prime Wardens Vol. 2 #29	3	Core Game
The Argent Adept	The Argent Adept	Xu's Bell	-	Item, Instrument	POWER: Either activate 1 PERFORM or activate the ACCOMPANY of up to 2 different cards.	"Hey, you can't touch that! It's a priceless artifact!"	Dr. Blake Washington, Jr., Toll of Destiny #1	1	Core Game
Bunker	Bunker	Adhesive Foam Grenade	-	Ongoing	Environment cards cannot be played. START PHASE Destroy this card.	"I was worried when you took a shot at Lady Liberty, soldier, but good work saving the day!"	Legacy, Freedom Four #94	3	Core Game
Bunker	Bunker	Emergency Shielding	-	Item, Limited	When this card is destroyed, Bunker regains 2 HP. REACTION: -2 to the damage Bunker would be dealt. Then, if Bunker is still dealt damage, destroy this card.	"We've got some new damage reduction protocols for you. Could be literally life saving. Can't go losing my best soldier, now can I?"	General Armstrong, Justice Comics #452	3	Core Game
Bunker	Bunker	Expendable Power Bank	-	Item, Limited	PLAY PHASE You may put 1 card from your trash under 1 Ordnance card in play. If you do, put this card under 1 Ordnance card in play. END PHASE Put the top card of your deck under 1 Ordnance card in play.	"Sure, it's a bit of a weak point, but the other alternative is fewer bells and whistles, and we can't have that!"	Bunker, Freedom Five #410	4	Core Game
Bunker	Bunker	Flak Cannon	-	Item, Ordnance, Limited	POWER: Destroy up to 2 cards under this card. Each time you destroy 1 card this way, Bunker deals 1 target 3 projectile damage. START PHASE Put the top card of your deck under this card.	"Not going to climb out of your fancy tin can and give your old squadmate a hug? What, am I below your station?"	Fright Train, Freedom Five #463	2	Core Game
Bunker	Bunker	Gatling Gun	-	Item, Ordnance, Limited	START PHASE Put the top card of your deck under this card. END PHASE Destroy up to 3 cards under this card. Each time you destroy 1 card this way, Bunker deals 1 target 1 projectile damage.	"I provide my own suppressive fire."	Bunker, One Man Army One-Shot	2	Core Game
Bunker	Bunker	Grenade Launcher	-	Item, Ordnance, Limited	POWER: Destroy up to 2 cards under this card. Each time you destroy 1 card this way, Bunker deals 3 targets 2 fire damage each. START PHASE Put the top card of your deck under this card.	"Not letting me draw a bead on you? That's a smart idea, provided I don't have any explosives."	Bunker, Indestructible Bunker #29	2	Core Game
Bunker	Bunker	LIDAR Intel	-	Ongoing	After any non-Hero target is played, you may draw 1 card. POWER: Reveal and replace the top card of 1 deck. Draw 1 card.	"You think you're sneaky, dontcha? I see you..."	Bunker, Justice Comics #617	2	Core Game
Bunker	Bunker	Mounted AP Gun	-	Item, Ordnance, Limited	POWER: Destroy 2 cards under this card. If you do, Bunker deals 1 target 6 irreducible projectile damage. START PHASE Put the top card of your deck under this card.	"Stop all your fretting. They're not getting away."	Bunker, Indestructible Bunker #154	2	Core Game
Bunker	Bunker	Omni-Cannon	-	Item, Ordnance	POWER: Destroy all cards under this card. Bunker deals 1 target X energy damage, where X is the number of cards destroyed this way times 2. START PHASE Put the top card of your deck under this card.	"Scrambling antimatter particles in a graviton launcher controls and directs a steady stream of hyper-excited leptons. Translation: Big gun go boom."	Tachyon, Freedom Five #571	1	Core Game
Bunker	Bunker	Piston Punch	-	One-Shot	Bunker deals 1 target 3 melee damage. If that damage destroys a target, put this card under 1 Ordnance card in play.	"Ooh, look at the big army man and his fancy suit built for combat instead of just making sure he doesn't die."	Absolute Zero, Freedom Five #323	4	Core Game
Bunker	Bunker	Recharge Mode	-	Ongoing, Mode, Limited	You cannot use powers. START PHASE Destroy this card. DRAW PHASE You may draw 4 additional cards. END PHASE Put any number of cards from hand under any Ordnance cards in play.	"It's a fine plan, and I'm all for it. But I'm going to need a lot more power."	Bunker, Freedom Five #369	4	Core Game
Bunker	Bunker	Tactical Command	-	One-Shot	1 ally uses 1 power. Damage dealt by that ally with that power is irreducible.	"He doesn't often speak up, but when he does, it's well worth listening."	The Wraith, Freedom Five Annual #13	3	Core Game
Bunker	Bunker	Turret Mode	-	Ongoing, Mode, Limited	+1 damage dealt by Bunker. START PHASE Destroy this card. POWER PHASE You may use 2 additional powers this phase.	BUDDABUDDABUDDABUDDABUDDABUDDA BUDDABUDDABUDDABUDDABUDDABUDDA BUDDABUDDABUDDABUDDABUDDABUDDA BUDDABUDDABUDDABUDDABUDDABUDDA BUDDABUDDABUDDABUDDABUDDABUDDA BUDDABUDDABUDDABUDDABUDDABUDDA	BUDDABUDDABUDDA	4	Core Game
Bunker	Bunker	Upgrade Mode	-	Ongoing, Mode, Limited	After this card is played, summon 1 Item card. You cannot use powers. START PHASE Destroy this card. END PHASE Play up to 2 cards.	"No, it's not like driving a car. OK, it's like driving a car blindfolded with shoes on your hands and also you're late."	Bunker, Freedom Five #370	4	Core Game
Captain Cosmic	Captain Cosmic	Augmented Ally	4	Construct	Play this card next to a Hero character. POWER PHASE This Hero may discard 1 card. If they do, they may use 1 additional power this phase.	"I am used to fighting with you, my friend, but not with me as well!"	Haka, Prime Wardens Vol. 1 #74	3	Core Game
Captain Cosmic	Captain Cosmic	Autonomous Blade	4	Construct	Play this card next to a Hero target. After that target deals damage for the first time each turn, this card deals 1 target 2 energy damage.	"Stand and fight or give up now! You cannot escape justice."	Captain Cosmic, Prime Wardens Vol. 2 #39	3	Core Game
Captain Cosmic	Captain Cosmic	Conservation of Energy	-	Ongoing	After any Construct card is destroyed, you may draw 1 card. START PHASE You may play 1 Construct card from your trash. If you do, destroy this card.	"Your command over the energy... the stability of your creations... I make up the difference with raw power!"	Infinitor, Conflux #2	3	Core Game
Captain Cosmic	Captain Cosmic	Construct Cataclysm	-	One-Shot	Destroy any number of Construct cards. Captain Cosmic either deals 1 target X irreducible energy damage, or deals up to X targets 3 energy damage each, where X is the number of Construct cards in your trash.	"Er, heads up, chaps. Getting a little extra showy here."	Captain Cosmic, Cosmic Tales Vol. 2 #431	2	Core Game
Captain Cosmic	Captain Cosmic	Cosmic Crest	4	Construct, Limited	-1 damage dealt to Captain Cosmic. POWER: Play or discover 1 Construct card.	"Who put me in charge? No one. But someone must stand for the world."	Captain Cosmic, Prime Wardens Vol. 1 #116	2	Core Game
Captain Cosmic	Captain Cosmic	Cosmic Weapon	4	Construct	Play this card next to a Hero character. They gain this power: POWER: This Hero deals 1 target 3 energy damage.	"This temporary blade will last longer than the foes we face!"	Fanatic, Prime Wardens Vol. 2 #58	3	Core Game
Captain Cosmic	Captain Cosmic	Destructive Response	-	Ongoing, Limited	After any Construct card is destroyed, Captain Cosmic deals up to 3 targets 1 energy damage each.	"Certainly are a lot of you... well, come and get me."	Captain Cosmic, Cosmic Tales Vol. 2 #232	2	Core Game
Captain Cosmic	Captain Cosmic	Dynamic Siphon	4	Construct	Play this card next to a Hero character. They gain this reaction: REACTION: Use 1 power.	"A duet? We will play the anthems of the heavens!"	The Argent Adept, Prime Wardens Vol. 1 #39	3	Core Game
Captain Cosmic	Captain Cosmic	Energy Bracer	4	Construct	Play this card next to a Hero target. -1 damage dealt to that Hero target.	"I will not fight for their homeworld, but I will fight for the good of the galaxy."	Tempest, Thorathian War One-Shot	3	Core Game
Captain Cosmic	Captain Cosmic	Harsh Offense	-	One-Shot	Captain Cosmic deals 1 target 3 energy damage. If that target is still in play, draw 2 cards.	"You bring out the worst in me. I shall return the favor."	Captain Cosmic, Cosmic Tales Vol. 2 #36	3	Core Game
Captain Cosmic	Captain Cosmic	Heart of Gold	-	Ongoing, Limited	POWER: Discard up to 3 cards. 1 Hero draws up to X cards. You may play up to X Construct cards. X is the number of cards you discarded this phase.	"I just really need someone to help me here. There has to be some justice in the galaxy, right?"	Galactra, Cosmic Tales Vol. 1 #180	2	Core Game
Captain Cosmic	Captain Cosmic	Potent Disruption	-	One-Shot	Destroy 1 Construct card. If you do, Captain Cosmic deals 1 target 5 irreducible energy damage.	"You foolish Earthling! You will fall before the might of EYEYYEYYEAYEYAYAEERRGHH!!"	Empyreon, Cosmic Concurrence #15	2	Core Game
Captain Cosmic	Captain Cosmic	Unflagging Animation	-	Ongoing, Limited	-1 damage dealt to Construct cards. START PHASE Either discard 1 card or destroy this card. END PHASE The Construct card with the lowest HP regains 2 HP.	"I know little of your people, but I understand fear, and innocent lives in danger. I will keep you safe. I swear it."	Captain Cosmic, Prime Wardens Vol. 2 #27	3	Core Game
Captain Cosmic	Captain Cosmic	Vitality Conduit	4	Construct	Play this card next to a Hero target. START PHASE That target regains 2 HP.	"Careful, m'dear! I know you're quite capable, but that fellow looks rather intent on your destruction!"	Captain Cosmic, Cosmic Concurrence #7	3	Core Game
Captain Cosmic	Captain Cosmic	Wounding Buffer	4	Construct	Play this card next to a Hero character. They gain this reaction: REACTION: This card deals the attacker 3 energy damage.	"Order! Order! I demand you stop all this nonsense at once! I was attempting to have a real trial here!"	Judge Mental, Justice Comics #543	3	Core Game
Chrono-Ranger	Chrono-Ranger	Armed and Dangerous		Ongoing, Limited	After Chrono-Ranger deals melee damage to a target next to a Bounty card, Chrono-Ranger regains 1 HP. REACTION: Chrono-Ranger deals the attacker 2 melee damage.	"You don’t take a man’s gun, and you certainly don’t touch his hat.”	Chrono-Ranger, Ra: God of the Sun #246	2	Disparation
Chrono-Ranger	Chrono-Ranger	Bounty Board		Item, Limited	POWER: Collect, salvage, or play 1 Bounty card. Chrono-Ranger deals 1 target next to a Bounty card 1 projectile damage. END PHASE Either draw 1 card or play 1 Bounty card.	"A lot to pick from, I know, but we’ve got plenty of time! Get it? Time?”	CON, Tome of the Bizarre Vol. 3 #1	3	Disparation
Chrono-Ranger	Chrono-Ranger	"By Any Means"		Ongoing, Bounty	Play this card next to the non-Hero target with the fewest Bounty cards next to it. If the target next to this card has 9 or fewer HP, +2 damage dealt to that target. If this card is ever not next to a target, Chrono-Ranger draws 1 card, then bury this card.	"No time to rest, buckaroo -- there’s already another bounty ready for you, and this one’s a big one.”	CON, Tome of the Bizarre Vol. 3 #1	1	Disparation
Chrono-Ranger	Chrono-Ranger	Danny Boy		Item, Limited	POWER: Chrono-Ranger deals up to 3 targets 2 fire damage each. If any targets were destroyed this way, either collect or salvage 1 Bounty card.	"You might want to take a step back. Danny can get a bit... rowdy.”	Chrono-Ranger, Tome of the Bizarre Vol. 3 #87	2	Disparation
Chrono-Ranger	Chrono-Ranger	"Dead or Alive"		Ongoing, Bounty	Play this card next to the non-Hero target with the fewest Bounty cards next to it. +1 damage dealt to the target next to this card. If this card is ever not next to a target, Chrono-Ranger draws 1 card, then bury this card.	"That’s it. Everything’s fine, Con. I’m done here.”	Chrono-Ranger, Draw! One-Shot	1	Disparation
Chrono-Ranger	Chrono-Ranger	Displaced Armory		One-Shot	Either summon 1 Item card or salvage 1 card.  You may use 1 power on an Item card now.	"Now you sit tight there a second. I’ve got just th’ thing for you.”	Chrono-Ranger, Alpha #42	3	Disparation
Chrono-Ranger	Chrono-Ranger	Drop Everything		One-Shot	Select 1 non-Hero target. Discover 1 Bounty card and play it next to that target. You may move any number of Bounty cards in play to next to that target. Chrono-Ranger deals that target 1 projectile damage.	"Hold up, pardner! Partner? I’m not sure which you prefer. Regardless! You gotta take this thing down while you can!”	CON, Tome of the Bizarre Vol. 3 #132	3	Disparation
Chrono-Ranger	Chrono-Ranger	Eye on the Prize		One-Shot	Select 1 non-Hero target. You may either move a Bounty card in play to next to that target, or play 1 Bounty card next to that target. Chrono-Ranger deals that target 1 projectile damage. Either play 1 card or use 1 power.	"You may take this moment to reconsider. I’ll give you that much.”	Chrono-Ranger, Draw! One-Shot	3	Disparation
Chrono-Ranger	Chrono-Ranger	Fan the Hammer		One-Shot	Select 1 target. Discard up to 6 cards. Each time you discard a card this way, Chrono-Ranger deals the selected target 1 projectile damage.	"He emptied his pistol, tipped his hat, and walked through a portal as it closed.”	Tachyon, Freedom Five Annual #10	2	Disparation
