Villain	Deck	Title	HP	Keywords	Nemesis Icon	Game Text	Flavor Text	Attribution	Qty	Set
Ambuscade	Ambuscade	Primed Tranq Dart	-	One-Shot	-	If this card is played during a Hero turn, Ambuscade deals that Hero character (H) minus 2 toxic damage. Otherwise, Ambuscade deals each Hero target 2 toxic damage and each Hero destroys 1 Ongoing card in their play area.	Ughh, I knew that you'd... betray me eventually. Which is why I... put a bomb in your car.	Expatriette, Rook City Renegades #70	2	Rook City Renegades
Ambuscade	Ambuscade	Quelle Surprise!	-	One-Shot	-	If this card is played during a Hero turn, Ambuscade deals that Hero character (H) minus 1 projectile damage. Otherwise, Ambuscade deals the Hero target with the highest HP (H) plus 1 irreducible melee damage.	Come out, come out... Today, preferably.	Tachyon, Freedom Five #703	2	Rook City Renegades
Ambuscade	Ambuscade	Reactive Plating	6	Device	-	-1 damage dealt to this card and to Ambuscade. After Ambuscade or this card is dealt damage by a non-Villain target, this card deals the attacker (H) minus 1 energy damage.	Pffft, amateurs. Do they really call you heroes?	Ambuscade, Freedom Five Annual #11	2	Rook City Renegades
Ambuscade	Ambuscade	Rigged to Detonate	-	One-Shot	-	If this card is played during a Hero turn, Ambuscade deals that Hero character (H) minus 2 fire damage. Otherwise, Ambuscade deals each Hero target 2 fire damage and each Hero destroys 1 Item card in their play area.	He's already been here -- don't trust anything.	The Visionary, Freedom Five #473	2	Rook City Renegades
Ambuscade	Ambuscade	Run and Gun	-	Ongoing	-	When this card is destroyed, [flip] Ambuscade's character card. START PHASE Shuffle the Villain trash into the Villain deck. Then, destroy this card. END PHASE Ambuscade deals the Hero target with the highest HP (H) minus 1 projectile damage.	Bonjour, Monsieur Haka! You are lucky enough to be the most valuable prey to moi, the one and only Ambuscade!	Ambuscade, The Savage Haka #1	3	Rook City Renegades
Ambuscade	Ambuscade	Snatch and Grab	-	Ongoing	-	When this card is destroyed, [flip] Ambuscade's character card. START PHASE The Hero with the most cards in hand discards 2 cards. Then, destroy this card. END PHASE Ambuscade deals the Hero target with the second lowest HP (H) minus 1 melee damage.	Something's not right here. It's almost like I'm being hunted... in my city? Someone's feeling confident.	The Wraith, Mystery Comics Vol. 2 #221	3	Rook City Renegades
Ambuscade	Ambuscade	Spray and Pray	-	Ongoing	-	When this card is destroyed, [flip] Ambuscade's character card. START PHASE Ambuscade regains (H) HP. Then, destroy this card. END PHASE Ambuscade deals each Hero target 2 projectile damage.	A glorious fight! Someone should look into the movie rights for this encounter!	Ambuscade, Ra: God of the Sun #263	3	Rook City Renegades
Ambuscade	Ambuscade	Steal the Spotlight	-	One-Shot	-	If this card is played during a Hero turn, Ambuscade regains (H) HP, deals the Hero target with the highest HP (H) projectile damage, and discovers 1 Device card. Otherwise, Ambuscade deals the (H) minus 1 Hero targets with the highest HP 2 projectile damage.	Oh hon hon! It is I, the amazing Ambuscade! Did you know, I do all my own stunts?	Ambuscade, Rook City Renegades #135	2	Rook City Renegades
Ambuscade	Ambuscade	Unavoidable Explosive	-	One-Shot	-	If this card is played during a Hero turn, Ambuscade deals that Hero character (H) minus 2 energy damage. Otherwise, Ambuscade deals each Hero target 3 energy damage.	What cannot be seen cannot be avoided.	Ambuscade, Freedom Five Annual #11	2	Rook City Renegades
Apex	Apex	Blood Magic's Boon	-	Ongoing	-	Whenever a Werewolf card would deal melee damage, change the damage type to infernal and make it irreducible. START PHASE The Werewolf card with the highest HP deals itself 2 infernal damage. Then, if that Werewolf card is not Apex, play the top card of the Villain deck.	I smell the blood in the air. This ritual-- we cannot allow it to continue!	The Harpy, Dark Watch Vol. 1 #142	2	Rook City Renegades
Apex	Apex	Chel	21	Werewolf	-	-1 damage dealt to this card by targets with fewer HP than this card. END PHASE This card deals each non-Villain target 2 infernal damage.	We are supernatural creatures, above and beyond by our very existence. Why should we not reach for more?	Chel, Alpha: The Wolf-Woman #21	1	Rook City Renegades
Apex	Apex	Feral Pack	-	One-Shot	-	Each Werewolf card deals a different non-Villain target 2 melee damage.	They're in a complete blood-frenzy! Gather up anyone you can and get far, far away from here!	Alpha, Mystery Comics Vol. 2 #375	2	Rook City Renegades
Apex	Apex	Flint	25	Werewolf	-	-1 damage dealt to this card by targets with fewer HP than this card. END PHASE This card deals the non-Villain target with the highest HP 4 melee damage.	We're gonna fight. [GROWL] You're gonna die.	Flint, Alpha: The Wolf-Woman #19	1	Rook City Renegades
Apex	Apex	Gumbo	23	Werewolf	-	-1 damage dealt to this card by targets with fewer HP than this card. END PHASE This card deals the non-Villain target with the highest HP 3 melee damage. Then, this card deals the target with the highest HP 3 melee damage.	Oh ha-hah! Hee hee hee! I know de best joke... and you de punchline! Gumbo, Alpha: The Wolf-Woman #20 1 Rook City Renegades
Apex	Apex	Hunting Party	-	One-Shot	-	Shuffle the Villain trash into the Villain deck. Discover 1 Werewolf card and 1 Ongoing card.	For all their might and terror, their most frightening aspect may be their ability to move so quietly for something so large.	The Naturalist, Rook City Renegades #195	2	Rook City Renegades
Apex	Apex	Magistra Damaris	13	Vampire	-	+1 radiant damage dealt to this card. After a Werewolf card is destroyed, each Villain target regains (H) HP. END PHASE This card deals each non-Vampire target 1 irreducible infernal damage.	Those who seek power eventually find themselves at the Court of Blood. Like those who came before, you will be made to heel.	Magistra Damaris, Dark Watch Vol. 1 #130	1	Rook City Renegades
Apex	Apex	Making of an Alpha	-	One-Shot	-	The 2 non-Villain targets with the highest HP deal each other 3 melee damage each. Then, if either of those targets have fewer HP than Apex, play the top card of the Villain deck.	I do not want to fight you, but it seems choice has been taken from us. Do not go easy on me!	Haka, Tome of the Bizarre Vol. 3 #91	2	Rook City Renegades
Apex	Apex	Moonless Night	-	Ongoing	-	-2 damage dealt to and by Werewolf cards. START PHASE Apex regains (H) HP. Destroy this card. END PHASE Shuffle the Villain trash into the Villain deck. Discover (H) minus 2 Werewolf cards.	They act as though they are far greater than humanity, when truly, they exist as a corruption. You, however, are something different.	NightMist, Alpha: The Wolf-Woman #24	2	Rook City Renegades
Apex	Apex	No Shortage of Wolves	-	Ongoing	-	START PHASE If there are (H) or fewer Werewolf cards in play, shuffle the Villain trash into the Villain deck and discover 1 Werewolf card. END PHASE The Werewolf card with the highest HP deals the (H) minus 1 Hero targets with the highest HP 1 melee damage each.	If we run, the pack will hunt us, and we will die. If we stand and fight... we might live.	Alpha, Alpha: The Wolf-Woman #35	2	Rook City Renegades
Apex	Apex	On the Blood Trail	-	One-Shot	-	Discover 1 Werewolf card. The Werewolf card with the highest HP deals the Hero target with the lowest HP 3 melee damage.	Run, little morsel. We have your scent now -- there's nowhere for you to hide.	Apex, Mystery Comics Vol. 2 #374	3	Rook City Renegades
Apex	Apex	The Pack Hungers	-	Ongoing	-	+1 damage dealt by Werewolf cards. START PHASE Apex regains (H) HP. Destroy 1 Werewolf card with 3 or fewer HP. Destroy this card. END PHASE Each Werewolf card deals itself 1 toxic damage.	Stick together and don't let them get behind you. If they can separate us, they'll tear us apart!	Expatriette, Dark Watch Vol. 1 #138	2	Rook City Renegades
Apex	Apex	Rowan	22	Werewolf	-	-1 damage dealt to this card by targets with fewer HP than this card. END PHASE This card deals the non-Villain target with the lowest HP 3 melee damage.	I can't wait to taste your blood... Let the hunt begin!	Rowan, Alpha: The Wolf-Woman #19	1	Rook City Renegades
Apex	Apex	Timber	24	Werewolf	-	-1 damage dealt to this card by targets with fewer HP than this card. END PHASE This card deals the (H) minus 2 non-Villain targets with the highest HP 3 melee damage each.	Werewolves have existed in the shadows for centuries. No longer. Our time is now.	Timber, Alpha: The Wolf-Woman #20	1	Rook City Renegades
Apex	Apex	A Wolf Among Sheep	-	One-Shot	-	Apex deals each non-Villain target 2 melee damage. Whenever a target is destroyed by this damage, Apex regains (H) HP.	Look how easily they bleed and die! You would choose this over the life of an apex predator?!	Apex, Alpha #13	2	Rook City Renegades
Apostate	Apostate	Condemnation	11	Relic	-	After damage dealt by Apostate destroys a target, Apostate regains 6 HP.  END PHASE: Apostate deals the non-Villain target with the lowest HP 3 melee damage. This card and Apostate both regain 3 HP.	This blade has heard the cries of a thousand souls, and still thirsts for a thousand more.	Apostate, Fanatic Vol. 1 #25	1	Disparation
Apostate	Apostate	Corrupted Effigy	9	Relic	-	-1 damage dealt to Demon cards.  END PHASE: If there are fewer than (H) Demon cards in play, discover 1 Demon card.	These things you hold sacred are the worst of falsehoods!	Apostate, Absolution Vol. 1 #19	1	Disparation
Apostate	Apostate	Fiendish Pugilist	10	Demon	-	END PHASE: This card deals the Hero target with the highest HP (H) minus 1 melee damage.	Most demons are general purpose -- a bit of torment, scary shapes in the dark, your occasional deal. Me, I'm something of a specialist.	Granuum, Mystery Comics Vol. 2 #369	3	Disparation
Apostate	Apostate	Gauntlet of Perdition	7	Relic	-	+1 damage dealt by Apostate.  END PHASE: Apostate deals the (H) minus 1 Hero targets with the lowest HP 1 melee damage each.	He wields a dark force, drinking of my spirit as he strikes.	Mr. Fixer, Dark Watch Annual Vol. 1 #4	1	Disparation
Apostate	Apostate	Imp Pilferer	6	Demon	-	END PHASE: Destroy 1 Hero Ongoing or Item card. This card deals the Hero target with the second lowest HP (H) minus 2 infernal damage.	I'll get the right one this time, oh great lord of lies and hair care products! I won't disappoint you again!	Nahropt, Ra: God of the Sun Vol. 1 #306	3	Disparation
Apostate	Apostate	Orb of Delirium	7	Relic	-	+1 damage dealt by Environment targets to Hero targets.  END PHASE: Each Hero discards up to 2 cards. If fewer than (H) cards are discarded this way, each Hero character deals themself 3 fixed psychic damaeg.	You could destroy it. But then, you would never know how it worked. Wouldn't you rather study it, and learn of its power?	GloomWeaver, Tome of the Bizarre Vol. 4 #77	2	Disparation
Apostate	Apostate	Periapt of Woe	5	Relic	-	-1 damage deal to Relic cards.  END PHASE: Apostate regains (H) HP.	Your toys and baubles cannot save you, vile betrayer! Bring forth your lies -- your smiting is still at hand!	Fanatic, Absolution Vol. 1 #50	1	Disparation
Apostate	Apostate	Relic Spirit	8	Demon	-	END PHASE: The Relic card with the lowest HP regains (H) HP. Then, reveal the top card of the Villain deck. If it is a Relic card, play it. Otherwise, discard it.	The tomes tell of such bound entities, but I had not thought to encounter one.	NightMist, NightMist Vol. 1 #119	3	Disparation
Apostate	Apostate	Runes of Malediction	5	Relic	-	-1 damage dealt to Apostate.  END PHASE: Destroy 1 Hero Ongoing card from 1 Hero play area with a Lie card. If no card is destroyed this way, Apostate deals the Hero target with the lowest HP (H) minus 1 infernal damage.	This is not of the Void, nor of cosmic origins. Oh, by the scales, has he crafted this of himself?!	The Argent Adept, Virtuoso of the Void Vol. 2 #21	2	Disparation
Apostate	Apostate	Tome of the Unknowable	9	Relic	-	-1 to Hero target HP recovery.  END PHASE: The Hero target with the highest HP deals itself X fixed psychic damage, where X is the number of Ongoing cards in their play area plus 1.	The words within -- if words they be -- seek to exhaust my very will. But I must keep reading!	The Scholar, Tome of the Bizarre Vol. 2 #346	2	Disparation
Apostate	Apostate	You Will Bring Pain	-	Lie	-	If there are ever no active Heroes in this play area, bury this card.  END PHASE: A Hero character in this play area deals 2 other non-Villain targets 1 energy damage each. If no damage is dealt this way, put this card under the Villain character card.	I'm being as careful as I can, but you ***know*** that I'll always protect you and the rest of the team. …Right? …Amanda?	Setback, Dark Watch Annual Vol. 1 #4	1	Disparation
Apostate	Apostate	You're Not Who You Think You Are	-	Lie	-	If there are ever no active Heroes in this play area, bury this card.  END PHASE: Discard 1 card from your hand. Discard the top card of your deck. If there are at least 3 different keywords on cards discarded this way, put this card under the Villain character card.	A divine being? We both know the truth. Isn't it more likely that you're just like me?	Apostate, Absolution Vol. 1 #7	1	Disparation
Apostate	Apostate	You're Unworthy	-	Lie	-	If there are ever no active Heroes in this play area, bury this card.  END PHASE: Bury 1 card from your hand. Each ally Hero may draw 1 card. Then, if you have more cards in hand than each other Hero, put this card under the Villain character card.	I'm sure it's fine! They all like having you around, probably. Who doesn't like a plucky little intern or sidekick?	Apostate, Justice Comics Vol. 1 #474	1	Disparation
Apostate	Apostate	Your Allies Betray You	-	Lie	-	If there are ever no active Heroes in this play area, bury this card.  END PHASE: Discard the top card of 2 Hero decks. If any One-Shot cards are discarded this way, 1 Hero character in this play area deals themself 2 psychic damage. If no damage is dealt this way, put this card under the Villain character card.	Of course the messages from Cuba are of no concern, Presidente. Unless… Do you think they are after our gold?	Apostate, Arcane Tales Vol. 2 #545	1	Disparation
Apostate	Apostate	Your Secrets Will Be Exposed	-	Lie	-	If there are ever no active Heroes in this play area, bury this card.  END PHASE: Discard 1 card. If the discarded card shares any keywords with any cards in play, 1 Hero character in this play area deals themself 2 energy damage. If no damage is dealt this way, put this card under the Villain character card.	With this, our deal is sealed. So long as you provide us with your blood, the Court of Blood swears to cease our hunting of humanity.	Blood Countess, The Savage Haka Vol. 1 #166	1	Disparation
Apostate	Apostate	Your World Is a Lie	-	Lie	-	If there are ever no active Heroes in this play area, bury this card.  END PHASE: Discard 1 card from hand. Discard the top card of your deck. If the discarded cards share at least 1 keyword, put this card under the Villain character card.	You believe so ***blindly*** that your faith imbued your foe with power. As usual, you were only ever fighting yourself.	Apostate, Prime Wardens Vol. 1 #200	1	Disparation
Baron Blade	Baron Blade	Backlash Field Generator	6	Device	-	After any Villain target other than this card is dealt damage by a Hero target, this card deals the attacker 2 lightning damage.	He's surrounded by a phase-shifted nanowave field, powered by that lithium microfilament capacitor on his belt!	Tachyon, Freedom Five #187	2	Core Game
Baron Blade	Baron Blade	Blade Battalion	5	Minion	-	END PHASE This card deals the Hero target with the highest HP X melee damage, where X is the current HP of this card.	Glorious Mordengrad! Our arms and minds are yours! Glorious Mordengrad! You grant us strength and life!	Blade Battalion Soldiers, Freedom Five #386	4	Core Game
Baron Blade	Baron Blade	Consider the Price of Victory!	-	Ongoing	-	-1 damage dealt by Hero targets. START PHASE Each Hero discards 1 card. Baron Blade deals each Hero target 1 sonic damage. Discard the top (H) minus 1 cards of the villain deck. Destroy this card.	Before this day is ended, the entire planet shall grovel helplessly at my feet!	Baron Blade, Moonfall #4	2	Core Game
Baron Blade	Baron Blade	Devious Disruption	-	One-Shot	-	Each Hero may destroy any of their Ongoing and/or Item cards. Baron Blade deals each Hero character X lightning damage, where X is the number of Hero Ongoing and Item cards in that Hero's play area plus 3.	The agony and shame of your defeat shall break you!	Baron Blade, Freedom Five #215	2	Core Game
Baron Blade	Baron Blade	Hasten Doom	-	One-Shot	-	Baron Blade deals each Hero target 2 toxic damage. Play the top card of the Villain deck.	I have specifically designed this formula to counteract the strength of your genetics and strip you of the very evolutionary leaps that make you unique!	Baron Blade, Freedom Four Annual #1	4	Core Game
Baron Blade	Baron Blade	Jet-Jump Battalion	4	Minion	-	After this card is played, reveal the top card of the Villain deck. If that card is a Device card, play it. Otherwise, discard it. END PHASE This card deals the (H) minus 2 Hero targets with the highest HP 2 energy damage each.	You fight in service of Baron Blade and for the glory of Mordengrad!	Blade Battalion Commander, Mystery Comics #374	3	Core Game
Baron Blade	Baron Blade	Living Force-Field	-	Ongoing	-	-1 damage dealt to Baron Blade. END PHASE Baron Blade regains (H) minus 1 HP.	I am barely amused by your worthless attempts at competence.	Baron Blade, Justice Comics #335	2	Core Game
Baron Blade	Baron Blade	Mobile Defense Platform	12	Device	-	Baron Blade is immune to damage. END PHASE Reveal the top card of the Villain deck. If it is a Minion card, play it. Otherwise, discard it.	Until we take that blasted floating fortress out, Blade is practically untouchable!	Legacy, Moonfall #1	1	Core Game
Baron Blade	Baron Blade	Powered Turret	7	Device	-	+1 damage dealt by this card for each other Device card in play. END PHASE This card deals each Hero target 1 energy damage.	Arming this platform has been one of my best decisions. It's the little things, really.	Baron Blade, Moonfall #1	2	Core Game
Baron Blade	Baron Blade	Remote Walking Tank	5	Device	-	-1 damage dealt to this card. END PHASE This card deals the Hero target with the highest HP (H) energy damage.	My father was truly a visionary. A brilliant inventor with ideas far beyond his time. His loss will be repaid in blood!	Baron Blade, Justice Comics #429	3	Core Game
Citizen Dawn	Citizen Dawn	Blinding Blast	-	One-Shot	-	Citizen Dawn deals each Hero target 2 energy damage. Each Hero discards 1 card.	I'm not less of a person just because I don't have powers like you. But you're less of a person for being such a terrible mother.	Amanda Cohen, Emigrant's Song #1	2	Core Game
Citizen Dawn	Citizen Dawn	Channel the Eclipse	-	Ongoing	-	START PHASE Play the top card of the Villain deck. END PHASE Citizen Dawn deals each non-Villain target 2 energy damage.	The eclipse is about to happen! Should disrupt Dawn's powers. That is, unless it all goes bonkers and she gets more dangerous. Seems unlikely.	Parse, Sunrise #14	2	Core Game
Citizen Dawn	Citizen Dawn	Citizen Anvil	6	Citizen	-	-1 damage dealt to Citizen cards. END PHASE If Citizen Hammer is in the Villain trash, move him into play.	Halt.	Citizen Anvil, Freedom Five #209	1	Core Game
Citizen Dawn	Citizen Dawn	Citizen Assault	4	Citizen	-	If Citizen Battery is in play, +1 damage dealt by Citizen Assault. END PHASE This card deals each Hero target 1 melee damage.	Don't get too close to me. It's not that I don't like the company. It's that I can't be trusted.	Citizen Assault, Sunrise #3	1	Core Game
Citizen Dawn	Citizen Dawn	Citizen Autumn	6	Citizen	-	START PHASE Citizens Winter, Spring, and Summer each destroy 1 Environment card. END PHASE Destroy all Ongoing cards controlled by the Hero with the lowest HP.	As autumn leaves must dying fade, your futile acts shall be unmade.	Citizen Autumn, Sunrise #8	1	Core Game
Citizen Dawn	Citizen Dawn	Citizen Battery	6	Citizen	-	If Citizen Assault is in play, +2 damage dealt by Citizen Battery. END PHASE This card deals the Hero target with the highest HP 3 energy damage.	I fight for honor. There is honor in victory. I will do anything to attain victory.	Citizen Battery, Sunrise #3	1	Core Game
Citizen Dawn	Citizen Dawn	Citizen Blood	5	Citizen	-	END PHASE This card deals the Hero target with the lowest HP 1 infernal damage. If Citizen Sweat is in play, this card regains 4 HP. If Citizen Tears is in play, 1 Hero discards 1 card.	Would you care to cavort with a coven of corpses in the pale moonlight?	Citizen Blood, Sunrise #2	1	Core Game
Citizen Dawn	Citizen Dawn	Citizen Dare	3	Citizen	-	+1 damage dealt to Hero targets. After Citizen Truth is played, this card deals each Hero target 1 irreducible psychic damage. Then bury this card.	I'm listening, but I'm also thinking about killing you.	Citizen Dare, Sunrise #12	1	Core Game
Citizen Dawn	Citizen Dawn	Citizen Hammer	4	Citizen	-	If Citizen Anvil is in play, -1 damage dealt to this card. END PHASE This card deals each Hero target 3 fire damage.	Seems like everything's on fire... that was probably me. Well, you know what they say: burn what you love!	Citizen Hammer, Freedom Five #209	1	Core Game
Citizen Dawn	Citizen Dawn	Citizen Spring	6	Citizen	-	START PHASE Citizens Summer, Autumn, and Winter each regain 2 HP. END PHASE Each Citizen card regains 1 HP.	Laughter springs in wind and rain, brings healing light and healing pain.	Citizen Spring, Sunrise #8	1	Core Game
Citizen Dawn	Citizen Dawn	Citizen Summer	4	Citizen	-	START PHASE Citizens Autumn, Winter, and Spring each deal the Hero target with the highest HP 1 fire damage. END PHASE This card deals the 2 Heroes with the most cards in play 3 fire damage each.	Summer withers hopes to fears, and dries to salt the crystal tears.	Citizen Summer, Sunrise #8	1	Core Game
Citizen Dawn	Citizen Dawn	Citizen Sweat	5	Citizen	-	END PHASE Destroy 1 Hero Ongoing card. If Citizen Blood is in play, destroy 1 Hero Ongoing card. Citizen Tears deals each Hero target 1 melee damage.	Would you rather live in fear, or die with confidence?	Citizen Sweat, Sunrise #2	1	Core Game
Citizen Dawn	Citizen Dawn	Citizen Tears	5	Citizen	-	END PHASE Each Hero discards 1 card. Citizen Blood deals the Hero target with the highest HP 2 infernal damage. Citizen Sweat deals the Hero target with the lowest HP 2 fire damage.	I hunger for the marrow that cracks within all men.	Citizen Tears, Sunrise #2	1	Core Game
Citizen Dawn	Citizen Dawn	Citizen Truth	7	Citizen	-	Citizen Truth's allies are immune to damage. -1 damage dealt to Citizen Truth. After Citizen Dare is played, each Citizen card regains 2 HP. Then, bury this card.	Look away from the chosen few. You're fighting me, and you can't win. You fight against truth.	Citizen Truth, Freedom Five #599	1	Core Game
Citizen Dawn	Citizen Dawn	Citizen Winter	4	Citizen	-	START PHASE Citizens Spring, Summer, and Autumn each destroy 1 Hero Ongoing card. END PHASE This card deals each Hero target 2 cold damage.	Cold the touch of winter's breath, and cold the hand that touches death.	Citizen Winter, Sunrise #8	1	Core Game
Citizen Dawn	Citizen Dawn	Devastating Aurora	-	One-Shot	-	Destroy all Ongoing cards. Destroy all Item cards. Destroy all Environment cards. Citizen Dawn deals herself 5 cold damage.	My power can be contained no longer! This world will be cleansed by my light! Nothing can stop me!	Citizen Dawn, Freedom Five #600	2	Core Game
Citizen Dawn	Citizen Dawn	Healing Light	-	One-Shot	-	Citizen Dawn regains 10 HP. Restore all other Citizen cards to their maximum HP.	Like the dawning sun, rise again, and bring light to this darkened world!	Citizen Dawn, Freedom Five #209	2	Core Game
Citizen Dawn	Citizen Dawn	Luminous Leadership	-	Ongoing	-	+1 damage dealt by Citizen cards. START PHASE If Citizen Dawn is the only Citizen card in play, discover 1 Citizen card.	The sun shines brightly this day, Citizens! We shall taste victory!	Citizen Dawn, Freedom Five #202	2	Core Game
Citizen Dawn	Citizen Dawn	Return with the Dawn	-	Ongoing	-	START PHASE Play the (H) minus 2 Citizen cards with the lowest HP from the Villain trash.	Yeah, yeah, you took one out. Kudos. Trophy. Don't light the sparklers just yet. She doesn't tend to let them stay down for long.	Expatriette, Freedom Five #446	2	Core Game
GloomWeaver	GloomWeaver	Ardent Acolytes	6	Cultists	-	END PHASE This card deals the Hero target with the highest HP 3 melee damage.	Some poor souls are trapped in such darkness that they will burn anything -- or anyone -- at all, just to see some light.	The Scholar, Tome of the Bizarre Vol. 4 #19	2	Rook City Renegades
GloomWeaver	GloomWeaver	Cult Leader Massey	13	Chosen	-	START PHASE Discover 1 Cultists card. END PHASE This card deals the non-Villain target with the lowest HP and the Cultists card with the lowest HP 2 infernal damage each. If a target is destroyed this way, discover 1 Relic card.	Your true calling begins now, child of Gloom. Go and share the words of desolation.	GloomWeaver, Fabric of Despair #1	1	Rook City Renegades
GloomWeaver	GloomWeaver	Deathrattle	13	Chosen	-	START PHASE Discover 1 Zombies card. END PHASE This card deals the Hero target with the lowest HP X infernal damage, where X is the number of Zombies cards in play plus 1.	The gloom of death serves the master in many ways.	Deathrattle, Fabric of Despair #3	1	Rook City Renegades
GloomWeaver	GloomWeaver	Devoted Disciples	6	Cultists	-	END PHASE This card deals the 3 Hero targets with the highest HP 1 infernal damage each.	This temple to Gloom holds too much sway over the hearts of man. Something must be done!	Dr. Blake Washington, Jr., Tome of the Bizarre Vol. 2 #271	3	Rook City Renegades
GloomWeaver	GloomWeaver	Drum of Despair	30	Relic	-	When this card is destroyed, each Hero target regains 3 HP. END PHASE Discover 1 Cultists card. If no cards are played this way, each Hero discards 1 card.	The rhythm of suffering... It is music to my ears.	GloomWeaver, NightMist #21	1	Rook City Renegades
GloomWeaver	GloomWeaver	Grimoire of Curses	30	Relic	-	When this card is destroyed, each Hero draws 3 cards. END PHASE Each Hero may discard 1 card. Then, GloomWeaver deals each non-Villain target X infernal damage, where X is (H) minus the number of cards discarded this way.	Now, Children of the Gloom, let us meditate on these horrors.	Cult Leader Massey, Fabric of Despair #1	1	Rook City Renegades
GloomWeaver	GloomWeaver	Malevolent Malaise	-	One-Shot	-	GloomWeaver deals each Hero target 2 psychic damage. Each Hero discards 1 card. Play the top card of the Villain deck.	He can reach across the realms to choke the living!	NightMist, Freedom Five Annual #6	2	Rook City Renegades
GloomWeaver	GloomWeaver	Master Xian Niu	13	Chosen	-	START PHASE Play the top card of the Villain deck. END PHASE Destroy (H) minus 2 Hero Ongoing and/or Item cards.	True mastery comes with an understanding of inadequacy -- you will never be good enough. Let the despair get to you.	Master Xian Niu, Mystery Comics Vol. 2 #509	1	Rook City Renegades
